postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,x1,x2,lotterychoice,ev,ce,rrp
jzmw1ki8,351135,icon,1,6.545,25,Female,High school,0.1,10,0,12a,1,4.25,-3.25
jzmw1ki8,351135,icon,1,6.545,25,Female,High school,0.05,20,0,17b,1,2.5,-1.5
jzmvf2t9,1069590,pie,2,7.59,51,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmvf2t9,1069590,pie,2,7.59,51,Female,College,0.1,10,0,14b,1,2.75,-1.75
jzmvfp81,667215,circle,3,7.025,44,Male,High school,0.05,20,0,12b,1,7.5,-6.5
jzmvfp81,667215,circle,3,7.025,44,Male,High school,0.1,10,0,13b,1,3.25,-2.25
jzmwuton,329150,icon,1,7.85,28,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmwuton,329150,icon,1,7.85,28,Male,College,0.05,20,0,16b,1,3.5,-2.5
jzmvfpit,263840,bar,5,7.485,38,Male,High school,0.05,20,0,17b,1,2.5,-1.5
jzmvfpit,263840,bar,5,7.485,38,Male,High school,0.1,10,0,16b,1,1.75,-0.75
jzmypz9k,439086,none,0,7.14,29,Male,High school,0.05,20,0,14b,1,5.5,-4.5
jzmypz9k,439086,none,0,7.14,29,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmvg3rm,558935,pie,2,7.77,59,Female,High school,0.1,10,0,12b,1,3.75,-2.75
jzmvg3rm,558935,pie,2,7.77,59,Female,High school,0.05,20,0,14b,1,5.5,-4.5
jzmxgdm5,285818,triangle,4,6.485,33,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmxgdm5,285818,triangle,4,6.485,33,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvg76z,172836,bar,5,7.735,36,Male,College,0.05,20,0,16b,1,3.5,-2.5
jzmvg76z,172836,bar,5,7.735,36,Male,College,0.1,10,0,17b,1,1.25,-0.25
jzmveztu,181218,icon,1,7.54,22,Male,High school,0.05,20,0,11b,1,8.5,-7.5
jzmveztu,181218,icon,1,7.54,22,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmwmcx1,634318,pie,2,8.915,39,Female,College,0.1,10,0,4b,1,7.75,-6.75
jzmwmcx1,634318,pie,2,8.915,39,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmvoukz,871528,bar,5,7.325,52,Female,Graduate school,0.05,20,0,17a,1,3.5,-2.5
jzmvoukz,871528,bar,5,7.325,52,Female,Graduate school,0.1,10,0,18b,1,0.75,0.25
jzmwceym,488772,icon,1,6.125,24,Female,College,0.1,10,0,16b,1,1.75,-0.75
jzmwceym,488772,icon,1,6.125,24,Female,College,0.05,20,0,17b,1,2.5,-1.5
jzmvuz8e,615021,none,0,6.43,65,Female,High school,0.05,20,0,18b,1,1.5,-0.5
jzmvuz8e,615021,none,0,6.43,65,Female,High school,0.1,10,0,18b,1,0.75,0.25
jzmvgona,503591,none,0,7.53,35,Female,College,0.05,20,0,15b,1,4.5,-3.5
jzmvgona,503591,none,0,7.53,35,Female,College,0.1,10,0,14b,1,2.75,-1.75
jzmwjtbj,398230,icon,1,6.965,56,Female,College,0.05,20,0,1b,1,18.5,-17.5
jzmwjtbj,398230,icon,1,6.965,56,Female,College,0.1,10,0,9b,1,5.25,-4.25
jzmvfvhj,1025352,circle,3,7.465,22,Female,Graduate school,0.05,20,0,15b,1,4.5,-3.5
jzmvfvhj,1025352,circle,3,7.465,22,Female,Graduate school,0.1,10,0,9b,1,5.25,-4.25
jzmvut7x,581441,circle,3,6.88,41,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmvut7x,581441,circle,3,6.88,41,Male,College,0.05,20,0,15b,1,4.5,-3.5
jzmvy80w,627416,pie,2,6.87,29,Female,High school,0.1,10,0,17a,1,1.75,-0.75
jzmvy80w,627416,pie,2,6.87,29,Female,High school,0.05,20,0,19b,1,1,0
jzmvif9y,789919,icon,1,5.355,39,Female,College,0.1,10,0,17a,1,1.75,-0.75
jzmvif9y,789919,icon,1,5.355,39,Female,College,0.05,20,0,18a,1,2.5,-1.5
jzmw60zr,661921,circle,3,6.32,33,Female,Graduate school,0.05,20,0,15b,1,4.5,-3.5
jzmw60zr,661921,circle,3,6.32,33,Female,Graduate school,0.1,10,0,12b,1,3.75,-2.75
jzmy3zln,736246,none,0,7.575,33,Male,College,0.05,20,0,18b,1,1.5,-0.5
jzmy3zln,736246,none,0,7.575,33,Male,College,0.1,10,0,17b,1,1.25,-0.25
jzmx5bmi,247425,pie,2,8.24,29,Male,College,0.05,20,0,12a,1,8.5,-7.5
jzmx5bmi,247425,pie,2,8.24,29,Male,College,0.1,10,0,16a,1,2.25,-1.25
jzmw4wfa,357596,pie,2,7.165,44,Female,College,0.05,20,0,19b,1,1,0
jzmw4wfa,357596,pie,2,7.165,44,Female,College,0.1,10,0,17b,1,1.25,-0.25
jzmxg4pw,238747,bar,5,8.465,46,Female,High school,0.1,10,0,12b,1,3.75,-2.75
jzmxg4pw,238747,bar,5,8.465,46,Female,High school,0.05,20,0,14b,1,5.5,-4.5
jzmvt6ke,845944,icon,1,8.78,24,Male,Ph.D,0.1,10,0,11b,1,4.25,-3.25
jzmvt6ke,845944,icon,1,8.78,24,Male,Ph.D,0.05,20,0,11a,1,9.5,-8.5
jzmvg1b3,384796,icon,1,7.365,30,Male,Graduate school,0.1,10,0,2a,1,9.25,-8.25
jzmvg1b3,384796,icon,1,7.365,30,Male,Graduate school,0.05,20,0,0a,1,20,-19
jzmxx25p,488625,circle,3,7.375,31,Male,College,0.05,20,0,13b,1,6.5,-5.5
jzmxx25p,488625,circle,3,7.375,31,Male,College,0.1,10,0,12a,1,4.25,-3.25
jzmvf9vs,348476,icon,1,8.555,19,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmvf9vs,348476,icon,1,8.555,19,Male,High school,0.05,20,0,9b,1,10.5,-9.5
jzmvhu01,567813,icon,1,8.165,32,Male,Graduate school,0.05,20,0,5b,1,14.5,-13.5
jzmvhu01,567813,icon,1,8.165,32,Male,Graduate school,0.1,10,0,12b,1,3.75,-2.75
jzmvf4fq,591920,circle,3,7.34,32,Male,College,0.05,20,0,15a,1,5.5,-4.5
jzmvf4fq,591920,circle,3,7.34,32,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmw4kg9,319184,bar,5,7.84,30,Male,High school,0.1,10,0,19b,1,0.5,0.5
jzmw4kg9,319184,bar,5,7.84,30,Male,High school,0.05,20,0,0b,1,19.5,-18.5
jzmvxnlu,667861,icon,1,7.865,37,Male,College,0.05,20,0,7b,1,12.5,-11.5
jzmvxnlu,667861,icon,1,7.865,37,Male,College,0.1,10,0,17b,1,1.25,-0.25
jzmvhf44,585387,pie,2,6.055,37,Female,High school,0.1,10,0,11b,1,4.25,-3.25
jzmvhf44,585387,pie,2,6.055,37,Female,High school,0.05,20,0,14b,1,5.5,-4.5
jzmvzqye,134005,triangle,4,6.495,25,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvzqye,134005,triangle,4,6.495,25,Male,High school,0.1,10,0,9b,1,5.25,-4.25
jzmw3r1f,1045062,pie,2,7.145,30,Female,Ph.D,0.1,10,0,10b,1,4.75,-3.75
jzmw3r1f,1045062,pie,2,7.145,30,Female,Ph.D,0.05,20,0,10b,1,9.5,-8.5
jzmx6pid,381940,circle,3,5.285,30,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmx6pid,381940,circle,3,5.285,30,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmvtfoy,626310,icon,1,6.035,40,Female,College,0.05,20,0,15b,1,4.5,-3.5
jzmvtfoy,626310,icon,1,6.035,40,Female,College,0.1,10,0,8b,1,5.75,-4.75
jzmvjl72,847410,triangle,4,9.185,50,Male,College,0.05,20,0,10b,1,9.5,-8.5
jzmvjl72,847410,triangle,4,9.185,50,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmxm4ly,256512,circle,3,5.935,39,Male,College,0.05,20,0,10b,1,9.5,-8.5
jzmxm4ly,256512,circle,3,5.935,39,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmw3rk8,2439884,triangle,4,7.855,62,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmw3rk8,2439884,triangle,4,7.855,62,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmvgwg1,419174,pie,2,6.865,31,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvgwg1,419174,pie,2,6.865,31,Male,High school,0.1,10,0,0b,1,9.75,-8.75
jzmvfd3l,1135099,icon,1,7.345,30,Male,Graduate school,0.1,10,0,16b,1,1.75,-0.75
jzmvfd3l,1135099,icon,1,7.345,30,Male,Graduate school,0.05,20,0,17b,1,2.5,-1.5
jzmw8xoa,448661,bar,5,8.935,30,Female,College,0.1,10,0,15b,1,2.25,-1.25
jzmw8xoa,448661,bar,5,8.935,30,Female,College,0.05,20,0,12b,1,7.5,-6.5
jzmw92ig,445485,none,0,6.5,22,Male,College,0.05,20,0,15b,1,4.5,-3.5
jzmw92ig,445485,none,0,6.5,22,Male,College,0.1,10,0,9b,1,5.25,-4.25
jzmvptxy,604154,triangle,4,7.045,32,Male,High school,0.1,10,0,10a,1,5.25,-4.25
jzmvptxy,604154,triangle,4,7.045,32,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmyfx79,1629539,icon,1,7.16,29,Male,High school,0.1,10,0,13b,1,3.25,-2.25
jzmyfx79,1629539,icon,1,7.16,29,Male,High school,0.05,20,0,17b,1,2.5,-1.5
jzmvra6u,715580,circle,3,6.78,35,Female,College,0.1,10,0,16b,1,1.75,-0.75
jzmvra6u,715580,circle,3,6.78,35,Female,College,0.05,20,0,17b,1,2.5,-1.5
jzmweh3b,582928,icon,1,7.61,38,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmweh3b,582928,icon,1,7.61,38,Male,High school,0.05,20,0,19b,1,1,0
jzmvlke1,702493,icon,1,6.535,34,Female,College,0.1,10,0,19b,1,0.5,0.5
jzmvlke1,702493,icon,1,6.535,34,Female,College,0.05,20,0,19b,1,1,0
jzmvf05f,2414087,pie,2,7.04,30,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmvf05f,2414087,pie,2,7.04,30,Male,College,0.05,20,0,10b,1,9.5,-8.5
jzmw2a5o,351850,triangle,4,6.67,24,Male,High school,0.1,10,0,16b,1,1.75,-0.75
jzmw2a5o,351850,triangle,4,6.67,24,Male,High school,0.05,20,0,16b,1,3.5,-2.5
jzmvv9pb,290856,triangle,4,6.355,35,Male,High school,0.1,10,0,14b,1,2.75,-1.75
jzmvv9pb,290856,triangle,4,6.355,35,Male,High school,0.05,20,0,17b,1,2.5,-1.5
jzmveslw,294260,none,0,8.225,40,Male,College,0.1,10,0,8a,1,6.25,-5.25
jzmveslw,294260,none,0,8.225,40,Male,College,0.05,20,0,9a,1,11.5,-10.5
jzmvfbwn,398695,triangle,4,7.795,39,ஆண்,Graduate school,0.05,20,0,4a,1,16.5,-15.5
jzmvfbwn,398695,triangle,4,7.795,39,ஆண்,Graduate school,0.1,10,0,0b,1,9.75,-8.75
jzmw4l7y,459472,pie,2,7.775,28,Female,College,0.05,20,0,5b,1,14.5,-13.5
jzmw4l7y,459472,pie,2,7.775,28,Female,College,0.1,10,0,10b,1,4.75,-3.75
jzmvk3qd,1037709,icon,1,7.495,28,Male,Ph.D,0.05,20,0,10b,1,9.5,-8.5
jzmvk3qd,1037709,icon,1,7.495,28,Male,Ph.D,0.1,10,0,5a,1,7.75,-6.75
jzmvj6aq,273016,pie,2,6.955,36,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmvj6aq,273016,pie,2,6.955,36,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmvprwo,438128,icon,1,8.68,27,Male,High school,0.1,10,0,6b,1,6.75,-5.75
jzmvprwo,438128,icon,1,8.68,27,Male,High school,0.05,20,0,5b,1,14.5,-13.5
jzmvqyy5,1108292,icon,1,7.3,42,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmvqyy5,1108292,icon,1,7.3,42,Male,College,0.05,20,0,17a,1,3.5,-2.5
jzmw707n,243057,triangle,4,8.515,21,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmw707n,243057,triangle,4,8.515,21,Male,College,0.05,20,0,10b,1,9.5,-8.5
jzmxtds7,451623,circle,3,6.565,32,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmxtds7,451623,circle,3,6.565,32,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmz9tik,451743,triangle,4,7.02,32,Male,College,0.05,20,0,15a,1,5.5,-4.5
jzmz9tik,451743,triangle,4,7.02,32,Male,College,0.1,10,0,13a,1,3.75,-2.75
jzmvha4v,496014,circle,3,6.925,36,Female,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvha4v,496014,circle,3,6.925,36,Female,High school,0.1,10,0,18b,1,0.75,0.25
jzmvibmt,346554,icon,1,6.955,33,Male,High school,0.05,20,0,18b,1,1.5,-0.5
jzmvibmt,346554,icon,1,6.955,33,Male,High school,0.1,10,0,19b,1,0.5,0.5
jzmz3ujw,1322139,none,0,6.7,39,Female,College,0.05,20,0,15b,1,4.5,-3.5
jzmz3ujw,1322139,none,0,6.7,39,Female,College,0.1,10,0,15b,1,2.25,-1.25
jzmviee5,308486,triangle,4,7.725,35,Male,College,0.05,20,0,18b,1,1.5,-0.5
jzmviee5,308486,triangle,4,7.725,35,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmvejnt,189466,icon,1,6.9,34,Male,College,0.1,10,0,0b,1,9.75,-8.75
jzmvejnt,189466,icon,1,6.9,34,Male,College,0.05,20,0,0b,1,19.5,-18.5
jzmxeiqw,359661,pie,2,7.495,23,Female,College,0.1,10,0,11b,1,4.25,-3.25
jzmxeiqw,359661,pie,2,7.495,23,Female,College,0.05,20,0,14b,1,5.5,-4.5
jzmvf4hq,772075,triangle,4,7.74,39,Female,College,0.1,10,0,18b,1,0.75,0.25
jzmvf4hq,772075,triangle,4,7.74,39,Female,College,0.05,20,0,19b,1,1,0
jzmvem53,493621,bar,5,7.76,60,Male,High school,0.1,10,0,6b,1,6.75,-5.75
jzmvem53,493621,bar,5,7.76,60,Male,High school,0.05,20,0,7b,1,12.5,-11.5
jzmw1fca,287304,triangle,4,8.93,39,Male,Graduate school,0.05,20,0,0b,1,19.5,-18.5
jzmw1fca,287304,triangle,4,8.93,39,Male,Graduate school,0.1,10,0,9b,1,5.25,-4.25
jzmwaj1y,742512,triangle,4,7.77,33,Male,College,0.05,20,0,11a,1,9.5,-8.5
jzmwaj1y,742512,triangle,4,7.77,33,Male,College,0.1,10,0,11a,1,4.75,-3.75
jzmvm3po,202155,icon,1,7.775,28,Male,Ph.D,0.05,20,0,6b,1,13.5,-12.5
jzmvm3po,202155,icon,1,7.775,28,Male,Ph.D,0.1,10,0,13a,1,3.75,-2.75
jzmwc7cm,792152,bar,5,5.44,41,Male,High school,0.1,10,0,17b,1,1.25,-0.25
jzmwc7cm,792152,bar,5,5.44,41,Male,High school,0.05,20,0,15a,1,5.5,-4.5
jzmxsogh,515634,triangle,4,5.845,33,Male,College,0.05,20,0,14b,1,5.5,-4.5
jzmxsogh,515634,triangle,4,5.845,33,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmw0jzg,275712,pie,2,8.645,36,Male,Professional school,0.1,10,0,9b,1,5.25,-4.25
jzmw0jzg,275712,pie,2,8.645,36,Male,Professional school,0.05,20,0,10b,1,9.5,-8.5
jzmxtjjv,129499,icon,1,8.8,30,Male,Professional school,0.05,20,0,4b,1,15.5,-14.5
jzmxtjjv,129499,icon,1,8.8,30,Male,Professional school,0.1,10,0,7b,1,6.25,-5.25
jzmvjvcs,573566,bar,5,7.015,25,Male,College,0.1,10,0,19b,1,0.5,0.5
jzmvjvcs,573566,bar,5,7.015,25,Male,College,0.05,20,0,19b,1,1,0
jzmvjeyd,403988,none,0,8.29,41,Female,College,0.1,10,0,14b,1,2.75,-1.75
jzmvjeyd,403988,none,0,8.29,41,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmwojt4,633993,pie,2,5.72,46,Female,College,0.1,10,0,19b,1,0.5,0.5
jzmwojt4,633993,pie,2,5.72,46,Female,College,0.05,20,0,19b,1,1,0
jzmvjfy1,209073,icon,1,7.795,27,Male,College,0.1,10,0,15a,1,2.75,-1.75
jzmvjfy1,209073,icon,1,7.795,27,Male,College,0.05,20,0,11b,1,8.5,-7.5
jzmwgow1,1807343,triangle,4,8.45,28,Male,College,0.1,10,0,8a,1,6.25,-5.25
jzmwgow1,1807343,triangle,4,8.45,28,Male,College,0.05,20,0,7a,1,13.5,-12.5
jzmvxddi,821824,circle,3,7.63,43,Male,High school,0.1,10,0,6b,1,6.75,-5.75
jzmvxddi,821824,circle,3,7.63,43,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmw1ooo,384514,none,0,5.465,30,Male,Graduate school,0.1,10,0,14b,1,2.75,-1.75
jzmw1ooo,384514,none,0,5.465,30,Male,Graduate school,0.05,20,0,18b,1,1.5,-0.5
jzmvrwen,846903,none,0,7.81,35,Male,Professional school,0.1,10,0,10b,1,4.75,-3.75
jzmvrwen,846903,none,0,7.81,35,Male,Professional school,0.05,20,0,16b,1,3.5,-2.5
jzmvhgyy,426280,pie,2,7.325,28,Female,High school,0.05,20,0,16a,1,4.5,-3.5
jzmvhgyy,426280,pie,2,7.325,28,Female,High school,0.1,10,0,18b,1,0.75,0.25
jzmvknws,1235501,icon,1,6.965,36,Female,High school,0.1,10,0,18b,1,0.75,0.25
jzmvknws,1235501,icon,1,6.965,36,Female,High school,0.05,20,0,16b,1,3.5,-2.5
jzmw17m3,532347,circle,3,7.2,21,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmw17m3,532347,circle,3,7.2,21,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmwaml3,245967,bar,5,6.27,29,Male,Graduate school,0.05,20,0,14b,1,5.5,-4.5
jzmwaml3,245967,bar,5,6.27,29,Male,Graduate school,0.1,10,0,10b,1,4.75,-3.75
jzmvgf23,313767,pie,2,8.19,27,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvgf23,313767,pie,2,8.19,27,Male,High school,0.1,10,0,11b,1,4.25,-3.25
jzmxy4wt,298166,pie,2,6.95,23,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmxy4wt,298166,pie,2,6.95,23,Male,College,0.05,20,0,2b,1,17.5,-16.5
jzmxkazj,280309,icon,1,5.62,31,Female,College,0.05,20,0,18b,1,1.5,-0.5
jzmxkazj,280309,icon,1,5.62,31,Female,College,0.1,10,0,19b,1,0.5,0.5
jzmvfp39,575876,triangle,4,7.6,35,Female,College,0.05,20,0,0a,1,20,-19
jzmvfp39,575876,triangle,4,7.6,35,Female,College,0.1,10,0,0a,1,10,-9
jzmwavfy,315889,triangle,4,6.725,42,Female,Graduate school,0.05,20,0,0b,1,19.5,-18.5
jzmwavfy,315889,triangle,4,6.725,42,Female,Graduate school,0.1,10,0,10a,1,5.25,-4.25
jzmwn7qk,315879,icon,1,7.54,35,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmwn7qk,315879,icon,1,7.54,35,Male,High school,0.1,10,0,16b,1,1.75,-0.75
jzmviv2o,542973,pie,2,8.16,28,Male,College,0.1,10,0,4b,1,7.75,-6.75
jzmviv2o,542973,pie,2,8.16,28,Male,College,0.05,20,0,5b,1,14.5,-13.5
jzmz14r6,472058,circle,3,5.745,50,Male,High school,0.1,10,0,4b,1,7.75,-6.75
jzmz14r6,472058,circle,3,5.745,50,Male,High school,0.05,20,0,2b,1,17.5,-16.5
jzmvm9ro,342782,pie,2,7.165,43,Female,College,0.05,20,0,8b,1,11.5,-10.5
jzmvm9ro,342782,pie,2,7.165,43,Female,College,0.1,10,0,10b,1,4.75,-3.75
jzmwoas9,374102,icon,1,7.4,31,Male,High school,0.05,20,0,15b,1,4.5,-3.5
jzmwoas9,374102,icon,1,7.4,31,Male,High school,0.1,10,0,14b,1,2.75,-1.75
jzmvwj79,945951,pie,2,8.44,34,Male,College,0.05,20,0,10a,1,10.5,-9.5
jzmvwj79,945951,pie,2,8.44,34,Male,College,0.1,10,0,7b,1,6.25,-5.25
jzmvvwty,637348,none,0,6.205,31,Male,High school,0.05,20,0,19b,1,1,0
jzmvvwty,637348,none,0,6.205,31,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmwj0hz,700087,pie,2,7.04,31,Female,College,0.1,10,0,9b,1,5.25,-4.25
jzmwj0hz,700087,pie,2,7.04,31,Female,College,0.05,20,0,10b,1,9.5,-8.5
jzmvfefb,906379,circle,3,7.405,55,Female,High school,0.05,20,0,11a,1,9.5,-8.5
jzmvfefb,906379,circle,3,7.405,55,Female,High school,0.1,10,0,10b,1,4.75,-3.75
jzmvg8y2,685406,icon,1,6.4,39,Male,Graduate school,0.1,10,0,17a,1,1.75,-0.75
jzmvg8y2,685406,icon,1,6.4,39,Male,Graduate school,0.05,20,0,18b,1,1.5,-0.5
jzmwp07g,250787,pie,2,8.805,29,Female,College,0.1,10,0,10b,1,4.75,-3.75
jzmwp07g,250787,pie,2,8.805,29,Female,College,0.05,20,0,0b,1,19.5,-18.5
jzmvgj2i,215621,none,0,5.76,27,Male,High school,0.1,10,0,10b,1,4.75,-3.75
jzmvgj2i,215621,none,0,5.76,27,Male,High school,0.05,20,0,0b,1,19.5,-18.5
jzmwdsar,424358,triangle,4,7.9,26,Female,College,0.1,10,0,12b,1,3.75,-2.75
jzmwdsar,424358,triangle,4,7.9,26,Female,College,0.05,20,0,9b,1,10.5,-9.5
jzmydhwg,210106,none,0,8.135,28,Male,College,0.05,20,0,5b,1,14.5,-13.5
jzmydhwg,210106,none,0,8.135,28,Male,College,0.1,10,0,5b,1,7.25,-6.25
jzmw1vh2,854980,none,0,7.5,50,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmw1vh2,854980,none,0,7.5,50,Male,College,0.05,20,0,19b,1,1,0
jzmvf378,312223,icon,1,5.965,35,Male,High school,0.05,20,0,10b,1,9.5,-8.5
jzmvf378,312223,icon,1,5.965,35,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmy8703,386180,triangle,4,7.885,29,Male,College,0.1,10,0,6b,1,6.75,-5.75
jzmy8703,386180,triangle,4,7.885,29,Male,College,0.05,20,0,3b,1,16.5,-15.5
jzmwx689,369562,triangle,4,7.76,28,Female,High school,0.05,20,0,19b,1,1,0
jzmwx689,369562,triangle,4,7.76,28,Female,High school,0.1,10,0,16a,1,2.25,-1.25
jzmvf4no,534140,bar,5,6.305,49,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmvf4no,534140,bar,5,6.305,49,Male,College,0.1,10,0,14b,1,2.75,-1.75
jzmwev1q,808797,none,0,6.73,28,Male,College,0.1,10,0,4a,1,8.25,-7.25
jzmwev1q,808797,none,0,6.73,28,Male,College,0.05,20,0,7a,1,13.5,-12.5
jzmvfnrd,916186,none,0,6.535,39,Female,College,0.05,20,0,18b,1,1.5,-0.5
jzmvfnrd,916186,none,0,6.535,39,Female,College,0.1,10,0,18a,1,1.25,-0.25
jzmwfn9h,622903,none,0,7.88,35,Female,College,0.1,10,0,16b,1,1.75,-0.75
jzmwfn9h,622903,none,0,7.88,35,Female,College,0.05,20,0,18b,1,1.5,-0.5
jzmwow1v,491435,circle,3,6.735,25,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmwow1v,491435,circle,3,6.735,25,Male,College,0.1,10,0,15a,1,2.75,-1.75
jzmvfgdt,813504,pie,2,7.2,58,Female,College,0.1,10,0,16b,1,1.75,-0.75
jzmvfgdt,813504,pie,2,7.2,58,Female,College,0.05,20,0,17b,1,2.5,-1.5
jzmvffwk,444977,bar,5,7.355,26,Female,College,0.05,20,0,17b,1,2.5,-1.5
jzmvffwk,444977,bar,5,7.355,26,Female,College,0.1,10,0,18b,1,0.75,0.25
jzmvel36,228265,bar,5,6.62,47,Unspecified,College,0.1,10,0,19b,1,0.5,0.5
jzmvel36,228265,bar,5,6.62,47,Unspecified,College,0.05,20,0,19b,1,1,0
jzmvi8wv,1693703,none,0,7.585,25,Male,Professional school,0.05,20,0,9b,1,10.5,-9.5
jzmvi8wv,1693703,none,0,7.585,25,Male,Professional school,0.1,10,0,9b,1,5.25,-4.25
jzmy9bgk,563576,pie,2,7.645,27,Male,Graduate school,0.1,10,0,9b,1,5.25,-4.25
jzmy9bgk,563576,pie,2,7.645,27,Male,Graduate school,0.05,20,0,5b,1,14.5,-13.5
jzmw7slx,663309,none,0,7.125,23,Female,College,0.1,10,0,15b,1,2.25,-1.25
jzmw7slx,663309,none,0,7.125,23,Female,College,0.05,20,0,15b,1,4.5,-3.5
jzmvlo0y,1020949,bar,5,8.195,37,Female,High school,0.05,20,0,18b,1,1.5,-0.5
jzmvlo0y,1020949,bar,5,8.195,37,Female,High school,0.1,10,0,17b,1,1.25,-0.25
jzmxqu20,245813,triangle,4,8.49,28,Male,Professional school,0.1,10,0,0a,1,10,-9
jzmxqu20,245813,triangle,4,8.49,28,Male,Professional school,0.05,20,0,4b,1,15.5,-14.5
jzmvjdor,455771,none,0,6.11,43,Male,College,0.05,20,0,19b,1,1,0
jzmvjdor,455771,none,0,6.11,43,Male,College,0.1,10,0,18b,1,0.75,0.25
jzmvjn6c,540504,circle,3,7.635,35,Male,Graduate school,0.05,20,0,18b,1,1.5,-0.5
jzmvjn6c,540504,circle,3,7.635,35,Male,Graduate school,0.1,10,0,17b,1,1.25,-0.25
jzmx2tj8,395586,circle,3,7.875,25,Male,Professional school,0.05,20,0,6b,1,13.5,-12.5
jzmx2tj8,395586,circle,3,7.875,25,Male,Professional school,0.1,10,0,5a,1,7.75,-6.75
jzmvkwlv,694014,triangle,4,7.77,31,Male,College,0.05,20,0,17b,1,2.5,-1.5
jzmvkwlv,694014,triangle,4,7.77,31,Male,College,0.1,10,0,15b,1,2.25,-1.25
jzmvww5c,704581,icon,1,8.215,25,Male,Graduate school,0.05,20,0,16b,1,3.5,-2.5
jzmvww5c,704581,icon,1,8.215,25,Male,Graduate school,0.1,10,0,14b,1,2.75,-1.75
jzmx04g8,150656,none,0,6.615,35,Male,High school,0.1,10,0,18b,1,0.75,0.25
jzmx04g8,150656,none,0,6.615,35,Male,High school,0.05,20,0,0b,1,19.5,-18.5
jzmvjofr,209056,circle,3,8.065,24,Female,High school,0.1,10,0,14b,1,2.75,-1.75
jzmvjofr,209056,circle,3,8.065,24,Female,High school,0.05,20,0,11b,1,8.5,-7.5
jzmw93az,446941,triangle,4,6.935,25,Male,College,0.1,10,0,10b,1,4.75,-3.75
jzmw93az,446941,triangle,4,6.935,25,Male,College,0.05,20,0,10b,1,9.5,-8.5
jzmwl1hf,226851,bar,5,7.405,32,Male,College,0.1,10,0,16b,1,1.75,-0.75
jzmwl1hf,226851,bar,5,7.405,32,Male,College,0.05,20,0,16b,1,3.5,-2.5
jzmy2w7b,733866,bar,5,7.16,31,Male,Graduate school,0.05,20,0,5b,1,14.5,-13.5
jzmy2w7b,733866,bar,5,7.16,31,Male,Graduate school,0.1,10,0,4b,1,7.75,-6.75
jzmweqwb,76595,none,0,8.06,26,Male,College,0.05,20,0,5a,1,15.5,-14.5
jzmweqwb,76595,none,0,8.06,26,Male,College,0.1,10,0,9b,1,5.25,-4.25
jzmvoxrq,546857,icon,1,8.425,21,Male,High school,0.05,20,0,12b,1,7.5,-6.5
jzmvoxrq,546857,icon,1,8.425,21,Male,High school,0.1,10,0,9b,1,5.25,-4.25
jzmws2yl,272025,bar,5,8.28,26,Male,Graduate school,0.05,20,0,8b,1,11.5,-10.5
