postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,prob1,prob2,x1,x2,lotterychoice,ev,ce,rrp,error,lnerror,exact,ev_perceived,rrp_perceived
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.1,0.91,0.09,20.0,10.0,13b,11.0,13.25,-0.20454545454545456,9.1,2.2082744135228043,0,19.099999999999998,0.3062827225130889
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.95,0.82,0.18,20.0,0.0,9b,19.0,10,0.47368421052631576,0.8631578947368421,-0.1471576443362877,0,16.4,0.39024390243902435
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.5,0.7,0.3,40.0,10.0,13b,25.0,19.75,0.21,1.4,0.3364722366212129,0,31.0,0.3629032258064516
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.25,0.88,0.12,20.0,0.0,10b,5.0,9,-0.8,3.52,1.2584609896100056,0,17.6,0.4886363636363637
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.9,0.88,0.12,10.0,0.0,7b,9.0,6.25,0.3055555555555556,0.9777777777777777,-0.02247285585205863,0,8.8,0.28977272727272735
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.1,0.39,0.61,10.0,0.0,10b,1.0,4.75,-3.75,3.9,1.3609765531356006,0,3.9000000000000004,-0.21794871794871784
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.95,0.8,0.2,50.0,20.0,11b,48.5,32.75,0.3247422680412371,0.8421052631578948,-0.17185025692665915,0,44.0,0.2556818181818182
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.5,0.91,0.09,150.0,0.0,9b,75.0,78.75,-0.05,1.82,0.598836501088704,0,136.5,0.4230769230769231
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.75,0.92,0.08,20.0,0.0,8b,15.0,11,0.26666666666666666,1.2266666666666668,0.20430046351272999,0,18.400000000000002,0.4021739130434783
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.05,0.6,0.4,40.0,10.0,12b,11.5,21.25,-0.8478260869565217,11.999999999999998,2.4849066497880004,0,28.0,0.24107142857142858
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.9,0.82,0.18,20.0,10.0,7a,19.0,16.75,0.11842105263157894,0.911111111111111,-0.09309042306601209,0,18.2,0.07967032967032964
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.95,0.88,0.12,40.0,10.0,8a,38.5,28.75,0.2532467532467532,0.9263157894736842,-0.07654007712233438,0,36.400000000000006,0.21016483516483528
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.5,0.89,0.11,50.0,20.0,11a,35.0,34.25,0.02142857142857143,1.78,0.5766133643039938,0,46.7,0.2665952890792292
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.9,0.92,0.08,50.0,0.0,12a,45.0,21.25,0.5277777777777778,1.0222222222222221,0.021978906718775167,0,46.0,0.5380434782608695
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.75,0.84,0.16,50.0,20.0,10a,42.5,35.75,0.1588235294117647,1.1199999999999999,0.11332868530700307,0,45.2,0.20907079646017704
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.05,0.89,0.11,50.0,20.0,8a,21.5,38.75,-0.8023255813953488,17.8,2.8791984572980396,0,46.7,0.17023554603854396
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.5,0.9,0.1,10.0,0.0,7a,5.0,6.75,-0.35,1.8,0.5877866649021191,0,9.0,0.25
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.75,0.86,0.14,40.0,10.0,6a,32.5,31.75,0.023076923076923078,1.1466666666666667,0.13685918271719735,0,35.8,0.11312849162011167
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.5,0.83,0.17,50.0,0.0,10a,25.0,26.25,-0.05,1.66,0.5068176023684519,0,41.5,0.3674698795180723
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.25,0.86,0.14,50.0,20.0,13a,27.5,31.25,-0.13636363636363635,3.44,1.235471471385307,0,45.8,0.3176855895196506
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.1,0.83,0.17,50.0,0.0,11a,5.0,23.75,-3.75,8.299999999999999,2.116255514802552,0,41.5,0.42771084337349397
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.25,0.71,0.29,40.0,10.0,13a,17.5,21.25,-0.21428571428571427,2.84,1.0438040521731147,0,31.299999999999997,0.3210862619808306
jtk7zk4d,860379,circle,3,8.11,30,Male,College,0.05,0.61,0.39,150.0,50.0,13a,55.0,87,-0.5818181818181818,12.2,2.501435951739211,0,111.0,0.21621621621621623
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,150.0,0.0,11b,75.0,63.75,0.15,1.0,0.0,1,75.0,0.15
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.9,0.9,0.09999999999999998,10.0,0.0,10b,9.0,4.75,0.4722222222222222,1.0,0.0,1,9.0,0.4722222222222222
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.05,0.05,0.95,150.0,50.0,16b,55.0,67,-0.21818181818181817,1.0,0.0,1,55.0,-0.21818181818181817
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,20.0,10.0,12b,15.0,13.75,0.08333333333333333,1.0,0.0,1,15.0,0.08333333333333333
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.25,0.25,0.75,50.0,20.0,13b,27.5,29.75,-0.08181818181818182,1.0,0.0,1,27.5,-0.08181818181818182
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.1,0.1,0.9,50.0,0.0,16b,5.0,8.75,-0.75,1.0,0.0,1,5.0,-0.75
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.75,0.75,0.25,40.0,10.0,14b,32.5,18.25,0.43846153846153846,1.0,0.0,1,32.5,0.43846153846153846
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,10.0,0.0,11b,5.0,4.25,0.15,1.0,0.0,1,5.0,0.15
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,50.0,20.0,11b,35.0,32.75,0.06428571428571428,1.0,0.0,1,35.0,0.06428571428571428
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.9,0.9,0.09999999999999998,20.0,10.0,4b,19.0,17.75,0.06578947368421052,1.0,0.0,1,19.0,0.06578947368421052
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.95,0.95,0.050000000000000044,50.0,20.0,3b,48.5,44.75,0.07731958762886598,1.0,0.0,1,48.5,0.07731958762886598
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.25,0.25,0.75,40.0,10.0,12b,17.5,21.25,-0.21428571428571427,1.0,0.0,1,17.5,-0.21428571428571427
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.75,0.75,0.25,50.0,20.0,6b,42.5,40.25,0.052941176470588235,1.0,0.0,1,42.5,0.052941176470588235
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.75,0.75,0.25,20.0,0.0,8b,15.0,11,0.26666666666666666,1.0,0.0,1,15.0,0.26666666666666666
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,40.0,10.0,10b,25.0,24.25,0.03,1.0,0.0,1,25.0,0.03
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.05,0.05,0.95,50.0,20.0,14b,21.5,28.25,-0.313953488372093,1.0,0.0,1,21.5,-0.313953488372093
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.25,0.25,0.75,20.0,0.0,14b,5.0,5,0.0,1.0,0.0,1,5.0,0.0
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.95,0.95,0.050000000000000044,40.0,10.0,3b,38.5,34.75,0.09740259740259741,1.0,0.0,1,38.5,0.09740259740259741
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.05,0.05,0.95,20.0,0.0,15b,1.0,4,-3.0,1.0,0.0,1,1.0,-3.0
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.1,0.1,0.9,10.0,0.0,14b,1.0,2.75,-1.75,1.0,0.0,1,1.0,-1.75
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.9,0.9,0.09999999999999998,50.0,0.0,4b,45.0,38.75,0.1388888888888889,1.0,0.0,1,45.0,0.1388888888888889
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.1,0.1,0.9,20.0,10.0,12b,11.0,13.75,-0.25,1.0,0.0,1,11.0,-0.25
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.5,0.5,0.5,50.0,0.0,12b,25.0,18.75,0.25,1.0,0.0,1,25.0,0.25
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.05,0.05,0.95,40.0,10.0,15b,11.5,16.75,-0.45652173913043476,1.0,0.0,1,11.5,-0.45652173913043476
jtk6fhyp,1161669,none,0,6.255,32,Male,College,0.95,0.95,0.050000000000000044,20.0,0.0,4b,19.0,15,0.21052631578947367,1.0,0.0,1,19.0,0.21052631578947367
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.95,0.99,0.01,40.0,10.0,0b,38.5,39.25,-0.01948051948051948,1.0421052631578949,0.04124295853404922,0,39.7,0.011335012594458509
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.05,0.1,0.9,150.0,50.0,19b,55.0,55,0.0,2.0,0.6931471805599453,0,60.0,0.08333333333333333
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.25,0.35,0.65,50.0,20.0,15b,27.5,26.75,0.02727272727272727,1.4,0.3364722366212129,0,30.5,0.12295081967213115
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.75,0.25,50.0,0.0,5b,25.0,36.25,-0.45,1.5,0.4054651081081644,0,37.5,0.03333333333333333
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.77,0.23,10.0,0.0,6b,5.0,6.75,-0.35,1.54,0.43178241642553783,0,7.7,0.12337662337662339
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.05,0.1,0.9,20.0,0.0,15b,1.0,4,-3.0,2.0,0.6931471805599453,0,2.0,-1.0
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.9,0.95,0.05,20.0,10.0,0b,19.0,19.75,-0.039473684210526314,1.0555555555555556,0.05406722127027579,0,19.5,-0.01282051282051282
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.9,0.95,0.05,50.0,0.0,4b,45.0,38.75,0.1388888888888889,1.0555555555555556,0.05406722127027579,0,47.5,0.18421052631578946
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.55,0.45,150.0,0.0,9b,75.0,78.75,-0.05,1.1,0.09531017980432493,0,82.5,0.045454545454545456
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.95,0.97,0.03,20.0,0.0,4b,19.0,15,0.21052631578947367,1.0210526315789474,0.020834086902842053,0,19.4,0.22680412371134015
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.25,0.2,0.8,40.0,10.0,16b,17.5,15.25,0.12857142857142856,0.8,-0.2231435513142097,0,16.0,0.046875
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.1,0.13,0.87,50.0,0.0,13b,5.0,16.25,-2.25,1.3,0.26236426446749106,0,6.5,-1.5
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.1,0.1,0.9,10.0,0.0,13b,1.0,3.25,-2.25,1.0,0.0,1,1.0,-2.25
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.82,0.18,20.0,10.0,6b,15.0,16.75,-0.11666666666666667,1.64,0.494696241836107,0,18.2,0.07967032967032964
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.05,0.1,0.9,50.0,20.0,16b,21.5,25.25,-0.1744186046511628,2.0,0.6931471805599453,0,23.0,-0.09782608695652174
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.7,0.3,50.0,20.0,13b,35.0,29.75,0.15,1.4,0.3364722366212129,0,41.0,0.27439024390243905
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.25,0.35,0.65,20.0,0.0,13b,5.0,6,-0.2,1.4,0.3364722366212129,0,7.0,0.14285714285714285
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.75,0.87,0.13,50.0,20.0,8b,42.5,37.25,0.12352941176470589,1.16,0.14842000511827322,0,46.1,0.19197396963123647
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.5,0.55,0.45,40.0,10.0,16b,25.0,15.25,0.39,1.1,0.09531017980432493,0,26.5,0.42452830188679247
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.95,0.95,0.05,50.0,20.0,1b,48.5,47.75,0.015463917525773196,1.0,0.0,1,48.5,0.015463917525773196
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.9,0.93,0.07,10.0,0.0,2b,9.0,8.75,0.027777777777777776,1.0333333333333334,0.03278982282299097,0,9.3,0.05913978494623663
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.05,0.1,0.9,40.0,10.0,16b,11.5,15.25,-0.32608695652173914,2.0,0.6931471805599453,0,13.0,-0.17307692307692307
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.75,0.8,0.2,40.0,10.0,8b,32.5,27.25,0.16153846153846155,1.0666666666666667,0.06453852113757116,0,34.0,0.19852941176470587
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.1,0.15,0.85,20.0,10.0,16b,11.0,11.75,-0.06818181818181818,1.4999999999999998,0.4054651081081642,0,11.5,-0.021739130434782608
jtkbtw89,1023950,circle,3,7.125,32,Female,College,0.75,0.85,0.15,20.0,0.0,4a,15.0,16,-0.06666666666666667,1.1333333333333333,0.125163142954006,0,17.0,0.058823529411764705
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.1,0.1,0.9,10.0,0.0,14a,1.0,3.25,-2.25,1.0,0.0,1,1.0,-2.25
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.95,0.95,0.05,20.0,0.0,2a,19.0,18,0.05263157894736842,1.0,0.0,1,19.0,0.05263157894736842
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.25,0.25,0.75,40.0,10.0,7a,17.5,30.25,-0.7285714285714285,1.0,0.0,1,17.5,-0.7285714285714285
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.25,0.25,0.75,50.0,20.0,10a,27.5,35.75,-0.3,1.0,0.0,1,27.5,-0.3
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,40.0,10.0,13a,25.0,21.25,0.15,1.0,0.0,1,25.0,0.15
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.9,0.9,0.1,10.0,0.0,2a,9.0,9.25,-0.027777777777777776,1.0,0.0,1,9.0,-0.027777777777777776
