"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived","abs_error","abs_rrp"
"81","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.05,0.1,0.9,20,0,"15b",1,4,-3,0.05,0.693147180559945,0,2,-1,0.05,3
"82","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.9,0.95,0.05,20,10,"0b",19,19.75,-0.0394736842105263,0.0499999999999999,0.0540672212702758,0,19.5,-0.0128205128205128,0.0499999999999999,0.0394736842105263
"83","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.9,0.95,0.05,50,0,"4b",45,38.75,0.138888888888889,0.0499999999999999,0.0540672212702758,0,47.5,0.184210526315789,0.0499999999999999,0.138888888888889
"84","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.5,0.55,0.45,150,0,"9b",75,78.75,-0.05,0.05,0.0953101798043249,0,82.5,0.0454545454545455,0.05,0.05
"85","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.95,0.97,0.03,20,0,"4b",19,15,0.210526315789474,0.02,0.0208340869028421,0,19.4,0.22680412371134,0.02,0.210526315789474
"86","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.25,0.2,0.8,40,10,"16b",17.5,15.25,0.128571428571429,-0.05,-0.22314355131421,0,16,0.046875,0.05,0.128571428571429
"87","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.1,0.13,0.87,50,0,"13b",5,16.25,-2.25,0.03,0.262364264467491,0,6.5,-1.5,0.03,2.25
"88","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.1,0.1,0.9,10,0,"13b",1,3.25,-2.25,0,0,1,1,-2.25,0,2.25
"89","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.5,0.82,0.18,20,10,"6b",15,16.75,-0.116666666666667,0.32,0.494696241836107,0,18.2,0.0796703296703296,0.32,0.116666666666667
"90","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.05,0.1,0.9,50,20,"16b",21.5,25.25,-0.174418604651163,0.05,0.693147180559945,0,23,-0.0978260869565217,0.05,0.174418604651163
